_related_company_domain,behind_firewall,company_domain,department_onet_codes,first_seen_at,id,last_seen_at,location_data,score,source_count
astra.co.id,False,astra.co.id,[],2026-08-04T22:00:00Z,ec63c921-5ba1-4d2f-bc0f-d6e2bab82ab4,2026-08-04T22:00:00Z,[],0.5,1
astra.co.id,True,astra.co.id,"[""15-1299.08""]",2026-06-17T10:00:00Z,856bdfe5-4a50-4146-b311-ff3507ec30e6,2026-07-02T10:00:00Z,[],0.25,1
astra.co.id,True,astra.co.id,"[""15-1211.00""]",2026-06-16T04:00:00Z,23335f62-dfac-4d7e-87c2-fadca17a10f6,2026-07-08T22:45:36Z,[],0.25,1
astra.co.id,True,astra.co.id,"[""15-1211.00""]",2026-06-16T04:00:00Z,54c4744b-bb6a-4c8b-9e81-11c73ec2d324,2026-07-08T22:45:36Z,[],0.25,1
astra.co.id,True,astra.co.id,"[""15-1211.00""]",2026-06-16T04:00:00Z,9427d801-d175-4254-8ba6-ab61f817a015,2026-07-08T22:45:36Z,[],0.25,1
astra.co.id,True,astra.co.id,"[""13-1161.01""]",2026-06-11T16:00:00Z,50907179-8d6d-4934-9bb4-f311c08f330f,2026-07-08T22:45:36Z,[],0.25,1
astra.co.id,True,astra.co.id,"[""15-1211.00""]",2026-06-11T16:00:00Z,344e5769-d644-4ace-a789-45f7875ed2dc,2026-06-13T04:00:00Z,[],0.25,1
astra.co.id,True,astra.co.id,"[""15-1211.00""]",2026-06-11T16:00:00Z,a680001d-cd03-4945-8579-7d78cf41ac2f,2026-06-13T04:00:00Z,[],0.25,1
astra.co.id,True,astra.co.id,"[""13-1161.01""]",2026-06-11T16:00:00Z,02aafa4f-23b2-434e-87aa-0a10f29b33ec,2026-07-08T22:45:36Z,[],0.25,1
astra.co.id,True,astra.co.id,"[""11-3031.01""]",2026-05-25T22:02:52Z,8e9f5f1b-527a-4d84-93fd-468bc91d1fdd,2026-07-10T10:00:00Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.25,1
astra.co.id,True,astra.co.id,"[""17-2131.00"", ""53-5021.00"", ""17-2121.00""]",2026-05-22T10:00:00Z,b80e5f6e-39dc-42b5-af98-14cac8a40f96,2026-08-05T10:00:00Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.52,4
astra.co.id,True,astra.co.id,"[""17-2131.00"", ""47-1011.00"", ""53-5021.00"", ""17-2121.00""]",2026-05-22T10:00:00Z,d69be854-4b36-4c08-a8e7-c255f8730c09,2026-08-05T10:00:00Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.61,6
astra.co.id,True,astra.co.id,"[""17-2131.00"", ""53-5021.00"", ""17-2121.00""]",2026-05-22T10:00:00Z,0117e2f9-fa2d-4fbd-baa0-b2b83419c6bb,2026-08-05T10:00:00Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.52,4
astra.co.id,True,astra.co.id,"[""17-2131.00"", ""53-5021.00"", ""17-2121.00""]",2026-05-22T10:00:00Z,9fc2f737-9611-48f2-bb42-194f766a2909,2026-08-05T10:00:00Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.52,4
astra.co.id,False,astra.co.id,[],2026-05-16T13:22:43Z,a61aeb44-54a0-4e03-b816-4a88bcbabb20,2026-08-09T19:03:35Z,[],1.0,3
astra.co.id,True,astra.co.id,"[""19-1029.01""]",2026-05-15T22:00:03Z,756802c3-2b5b-42eb-bb8b-5086181b0adf,2026-06-12T22:00:00Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.25,1
astra.co.id,True,astra.co.id,"[""19-1029.01""]",2026-05-15T22:00:03Z,94da604b-8790-43d5-8938-1ad1687cd149,2026-06-12T22:00:00Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.25,1
astra.co.id,True,astra.co.id,"[""19-1029.01""]",2026-05-15T22:00:03Z,5ee474dd-06b9-44c4-8d65-28ee43278098,2026-06-12T22:00:00Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.25,1
astra.co.id,True,astra.co.id,"[""19-1029.01""]",2026-05-15T22:00:03Z,93ae3852-a14a-4a16-a1d1-5f9f499e6850,2026-06-12T22:00:00Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.25,1
astra.co.id,True,astra.co.id,"[""19-1029.01""]",2026-05-15T22:00:03Z,8aaeb2f2-1028-4bd2-bf42-d99964eb175d,2026-06-12T22:00:00Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.25,1
astra.co.id,True,astra.co.id,"[""19-1029.01""]",2026-05-15T22:00:03Z,ada8fbfc-30af-42a8-8c97-8a01fb8b268c,2026-06-12T22:00:00Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.25,1
astra.co.id,True,astra.co.id,"[""17-3011.00""]",2026-05-15T16:00:06Z,4dbb7c8f-73db-4360-ad2e-6c12e961464b,2026-07-10T16:00:00Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.25,1
astra.co.id,True,astra.co.id,"[""17-3011.00""]",2026-05-15T16:00:06Z,2a397edd-7596-4323-8c97-1c3d4d366ae6,2026-07-10T16:00:00Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.25,1
astra.co.id,True,astra.co.id,"[""11-2011.00""]",2026-05-13T10:00:05Z,cdabc332-a081-4bf7-996b-725f898272b4,2026-07-04T10:00:00Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.25,1
astra.co.id,True,astra.co.id,"[""15-2051.01""]",2026-05-10T10:19:11Z,d4d3c038-2792-4059-9db3-4afda0e25bf7,2026-06-12T22:00:00Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.25,1
astra.co.id,True,astra.co.id,"[""15-2051.01""]",2026-05-10T10:19:11Z,c81f90f5-6e5d-450e-9b16-5361f1db426f,2026-06-12T22:00:00Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.25,1
astra.co.id,True,astra.co.id,"[""15-2051.01""]",2026-05-10T10:19:11Z,f8b7a786-1367-4865-ac5b-1ed8308ec620,2026-06-12T22:00:00Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.25,1
astra.co.id,True,astra.co.id,"[""15-2051.01""]",2026-05-10T10:19:11Z,a961796d-d509-44b5-b255-3f6e6552ad33,2026-06-12T22:00:00Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.25,1
astra.co.id,True,astra.co.id,"[""15-2051.01""]",2026-05-10T10:19:11Z,ad3dacff-3871-4781-aae9-ab68cbb8fc37,2026-06-12T22:00:00Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.25,1
astra.co.id,True,astra.co.id,"[""15-2051.01""]",2026-05-10T10:19:11Z,3474d87c-878c-4f20-86a9-083c6198d695,2026-06-12T22:00:00Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.25,1
astra.co.id,True,astra.co.id,"[""15-2051.01""]",2026-05-10T10:19:11Z,3c5dbe74-7055-4c89-9dba-d09a53e8d1d6,2026-06-12T22:00:00Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.25,1
astra.co.id,True,astra.co.id,"[""15-2051.01""]",2026-05-10T10:19:11Z,55df2aa3-42a1-4825-a7ac-2b04db19bf95,2026-06-12T22:00:00Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.25,1
astra.co.id,False,astra.co.id,[],2026-05-09T15:21:00Z,4f198534-1a1c-4d6b-924f-0d7c34ba780a,2026-08-11T11:34:02Z,[],0.5,1
astra.co.id,False,astra.co.id,[],2026-05-09T15:21:00Z,1c0d6274-5c41-4fc5-b332-3b76a25b9e7f,2026-08-11T11:34:02Z,[],0.5,1
astra.co.id,False,astra.co.id,[],2026-05-09T15:21:00Z,1c174092-b663-4c05-891e-ee7593367c2e,2026-08-11T11:34:02Z,[],0.5,1
astra.co.id,False,astra.co.id,[],2026-05-09T15:21:00Z,4d16c770-4471-43eb-b312-9a945be83c62,2026-08-11T11:34:02Z,[],0.5,1
astra.co.id,True,astra.co.id,"[""15-1254.00""]",2026-05-07T10:00:09Z,53bdbe88-efa0-40ee-aa0f-5c1ffd44df10,2026-07-10T16:00:00Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.25,1
astra.co.id,True,astra.co.id,"[""15-1254.00""]",2026-05-07T10:00:09Z,f7046583-1ec8-4410-b752-42656bf3f30d,2026-07-10T16:00:00Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.25,1
astra.co.id,False,astra.co.id,[],2026-05-02T00:31:03Z,b0485651-8bf7-4df2-ac84-ac26cf502d0d,2026-05-02T00:31:03Z,[],0.5,1
astra.co.id,False,astra.co.id,[],2026-05-02T00:31:03Z,1e40356b-8bc2-494b-89cc-19bbe7004b59,2026-05-02T00:31:03Z,[],0.45,1
astra.co.id,True,astra.co.id,"[""15-1252.00""]",2026-04-30T10:00:06Z,8703a03f-3b1b-4f6d-89a8-00134bfb367a,2026-08-04T10:54:36Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.39,2
astra.co.id,True,astra.co.id,"[""15-1252.00""]",2026-04-22T10:00:03Z,1ea6acac-c5b4-45dc-b337-ba4d0eda4a39,2026-06-12T22:00:00Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.25,1
astra.co.id,True,astra.co.id,"[""15-1252.00""]",2026-04-22T10:00:03Z,3ce63963-b10e-4866-aded-f3e1700a8d2a,2026-06-12T22:00:00Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.25,1
astra.co.id,True,astra.co.id,"[""27-4031.00""]",2026-04-19T10:18:57Z,b3a69015-57e5-46cb-a9ee-154e11acedb9,2026-07-10T16:00:00Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.25,1
astra.co.id,True,astra.co.id,"[""27-4031.00""]",2026-04-19T10:18:57Z,53c1cab9-f063-48b8-82a8-59b386b53201,2026-07-10T16:00:00Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.25,1
astra.co.id,True,astra.co.id,"[""15-1252.00""]",2026-04-18T10:00:04Z,78e3e49e-f110-4ef8-8a36-5a7d999e1296,2026-07-10T16:00:00Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.25,1
astra.co.id,True,astra.co.id,"[""15-1252.00""]",2026-04-18T10:00:04Z,90b8f3ef-48dc-46f4-8903-c9e71a3eeedb,2026-07-10T16:00:00Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.39,2
astra.co.id,True,astra.co.id,"[""15-1252.00""]",2026-04-18T10:00:04Z,d0f9cbe6-f167-4d1b-89a1-70c7e315d6a6,2026-07-10T16:00:00Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.39,2
astra.co.id,True,astra.co.id,"[""15-1252.00""]",2026-04-18T10:00:04Z,4c7e28ed-0273-4b1c-b96f-4fd83f733c04,2026-07-10T16:00:00Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.39,2
astra.co.id,True,astra.co.id,"[""13-1111.00""]",2026-04-14T10:00:04Z,16fc5b06-9a4c-4a1e-83cb-bcc7121fe5d9,2026-06-12T22:00:00Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.25,1
astra.co.id,True,astra.co.id,"[""15-1252.00""]",2026-04-14T10:00:04Z,f00cef6e-6e65-4249-b4b8-6d9dfbf89f43,2026-06-17T22:00:00Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.25,1
astra.co.id,True,astra.co.id,"[""15-1252.00""]",2026-04-14T10:00:04Z,6718bb91-0093-4730-ae44-250d20af1382,2026-06-17T22:00:00Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.25,1
astra.co.id,True,astra.co.id,"[""15-1254.00""]",2026-04-10T16:00:01Z,a4cdf748-7646-43b2-81e7-eed351f25887,2026-06-21T10:57:30Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.25,1
astra.co.id,True,astra.co.id,"[""13-2051.00""]",2026-03-22T23:16:02Z,1cf1ff68-264d-428a-b174-6829e4ff635c,2026-05-21T16:00:00Z,"[{""city"": ""Jakarta"", ""state"": null, ""country"": ""Indonesia""}]",0.25,1
